Name,Personal Traits,image
Abir Chatterjee,"Abir Chatterjee (Born 18 November 1980)[1] is an Indian actor who mainly works in Bengali cinema. He is the son of  theater personalities Phalguni Chatterjee and Rumki Chatterjee.[2] He started his career with Bengali television and made his debut in Bengali cinema in 2009 as a lead with Cross Connection.Chatterjee born in 1980 in Kolkata. He is the son of theatre artists Falguni Chatterjee and Rumki Chatterjee.[2] He was granted his B.Com degree from the Goenka College of Commerce and Business Administration and his MBA degree from the ICFAI Business School, Hyderabad.[1]Chatterjee is married to Nandini Chatterjee in 2007. The couple has a daughter named Mayurakshi Chatterjee.[1]He has acted in many Bengali serials including  Proloy..asche[3]  Ruposhi Bangla, Shasuri Zindabad and Khuje Berai Kacher Manush, Banhishikha, Sudhu Tomari Jonno, Ek Aakasher Niche, Janmobhumi.[4][5][6]He appeared in Bengali movies as Byomkesh Bakshi and Feluda.[7] The Indian Express said he brought ""elegant élan and confidence"" to his role in The Royal Bengal Tiger.[8]",https://upload.wikimedia.org/wikipedia/commons/e/e8/About_Chatterjee_2019.jpg
Adharvaa,"Atharvaa Murali, known as Atharvaa, is an Indian film actor working in Tamil cinema. The son of actor Murali and grandson of legendary director S. Siddalingaiah, Atharvaa began his acting career with Baana Kaathadi (2010).[1] He then garnered critical acclaim for his performance as a youngster suffering from delusion in the romantic thriller Muppozhudhum Un Karpanaigal (2012), before signing on to feature in Bala's period film Paradesi (2013). His role as a rural villager held as a slave in a tea plantation became his breakthrough performance, earning Atharvaa a Filmfare Award for Best Actor in Tamil.Atharva was born as the second child to film actor Murali and his wife. He also has an elder sister, Kavya, and a younger brother, Aakash.[2]After completing school, Atharvaa chose to pursue a career in films and began to undertake classes with stunt choreographers to prepare himself physically as an actor. In 2009, his father found him an offer to play the lead role in a film to be produced by Sathya Jyothi Films and directed by Badri Venkatesh. Titled Baana Kaathadi, the film launched in March 2009 and had Atharvaa pair up with fellow rookie actress Samantha. Portraying a youngster from the Royapuram slum area, he stayed in the locality for forty-five days to learn about the lifestyle, while he also learned to fly a kite for the film, canning scenes at the Gujarat Kite Festival.[3] The film, which also had Murali making a special appearance, released in August 2010 to positive reviews and his performance was praised, with Sify.com writing he ""makes a promising debut and he dances and emotes well"".[4] Similarly a critic from Rediff.com added ""romance is a cake-walk"" for the actor, drawing comparison with his father's performances in romantic roles, though noted ""his dialogue delivery is a little too melodramatic"".[5] He subsequently gained recognition at the Edison Awards for Best Debut Actor, while also receiving a nomination from the Vijay Awards in the same category. The success of the film prompted Murali to begin pre-production on a Tamil and Kannada language bilingual film which would feature Atharvaa. However, a month after Baana Kaathadi's release, his father Murali died after suffering cardiac arrest. Atharvaa consequently took a break to spend time with his family, before beginning work on a different venture.[6]",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Atharvaa_at_Eetti_Success_Meet_.jpg/220px-Atharvaa_at_Eetti_Success_Meet_.jpg
Adil Hussain,"Adil Hussain (pronounced [ʕaːdɪl ħuˈseːn]) is an Indian actor who has worked in Indian cinema, including art house cinema and mainstream Bollywood, as well as international cinema, in films such as The Reluctant Fundamentalist and Life of Pi (both 2012). He received National Film Awards (Special Jury) at the 2017 National Film Awards for Hotel Salvation and Maj Rati Keteki. He has starred in English, Hindi, Assamese, Bengali, Tamil, Marathi, Malayalam, Norwegian and French films.[2][3]Hailing from an Assamese Muslim family in Goalpara, Assam, where his father was a teacher, Hussain was the youngest of seven children.[1][4][5] Hussain acted in school plays.[6] He left home at age 18[7] to study philosophy at B. Borooah College, Guwahati,[5] he started acting in college plays and performing as a stand-up comedian. He also mimicked popular Bollywood actors in between the performances of a local stand-up comedian group, the Bhaya Mama Group. He worked as a stand-up comedian for six years, joined a mobile theatre and also did some local cinema,[7][8] before moving to Delhi, where he studied at National School of Drama (1990–1993). He also studied at the Drama Studio London on a Charles Wallace India Trust Scholarship.[9][4][10]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Adil_Hussain_at_%27Life_of_Pi%27_press_meet.jpg/220px-Adil_Hussain_at_%27Life_of_Pi%27_press_meet.jpg
Aditya Pancholi,"Aditya Pancholi (born Nirmal Pancholi; 4 January 1965) is an Indian film actor, producer and playback singer who appears in Bollywood films. He started his career as a lead actor, though he was more successful in supporting roles and as an antagonist. He received a Filmfare nomination for the Best Performance in a Negative Role for Yes Boss (1997).Pancholi began his career with television movies produced by Nari Hira and ventured into mainstream Bollywood cinema with Sasti Dulhan Mehnga Dulha (1986). Pancholi first came into the limelight with an important role in Maha-Sangram (1990). He had the peak of his career between the late 1980s and early 1990s. He succeeded by playing the second lead; most of his leading roles were not box office successes.Aditya Pancholi was born in an Ahir family. He is the son of the filmmaker Rajan Pancholi and Aruna Pancholi. He has one sister and two brothers. He received his early education from St. Joseph's High School in Juhu, Mumbai. In 1986, Pancholi married actress Zarina Wahab and they have two children, Sooraj (b. 9 November 1990) and Sana Pancholi.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Aditya_Pancholi.jpg/220px-Aditya_Pancholi.jpg
Aditya Roy Kapur,"Aditya Roy Kapur (born 16 November 1985) is an Indian film actor who works in Hindi films. He is the younger brother of actors Siddharth Roy Kapur and Kunaal Roy Kapur.Kapur was born in Mumbai on 16 November 1985[1] to a Punjabi Hindu father,[2] Kumud Roy Kapur, and a Jewish mother Salome Aaron.[3] His grandfather, Raghupat Roy Kapur, was a film producer.[4][5] Kapur is the youngest of the three siblings- his eldest brother, Siddharth Roy Kapur, was the chief executive officer of UTV Motion Pictures and is married to the actress, Vidya Balan. His second elder brother, Kunaal Roy Kapur, is also an actor.[6]His maternal grandparents, Sam and Ruby Aaron, were qualified dance teachers who introduced the Sama dance to India.[4] He did his schooling from G. D. Somani Memorial School, in Cuffe Parade, Mumbai, where all his siblings studied and his mother directed school plays.[4] Kapoor enrolled in St. Xavier's in Class XI, but failed. He had to enroll in St. Andrew's College to avoid losing a year.[3] Subsequently, he graduated from St. Xavier's College, affiliated to the University of Mumbai.[1]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Aditya_Roy_Kapur_spotted_at_the_gym_in_Bandra.jpg/220px-Aditya_Roy_Kapur_spotted_at_the_gym_in_Bandra.jpg
Adoor Bhasi,"K. Bhaskaran Nair;[1] (1 March 1927 – 29 March 1990), known by his stage name Adoor Bhasi, was an Indian film actor and film director from Kerala. Adoor Bhasi was almost always cast as the man who stands next to the hero. His hilarious actions and roles became the cynosure of comic scenes in the Malayalam films of the 1950s, 1960s, 1970s and 1980s. He is also famous for his eloquent speeches in fluent English. He directed three Malayalam films during the late 1970s.[2]Adoor Bhasi was born on 1 March 1927 in Peringanadu, Adoor, Travancore, with a rich lineage to boast of. His father, E. V. Krishna Pillai, was a renowned Malayalam humourist writer, dramatist, pioneering short story writer and essayist, a lawyer and a Member of the then Travancore Legislative Assembly (M.L.C.). His mother, Maheshwari Amma, was the youngest daughter of C. V. Raman Pillai, the greatest Malayalam novelist (the first historical novelist in Malayalam and author of Marthanda Varma, Dharmaraja, Premamritham, and Ramarajabahadur), pioneering dramatist, journalist and social activist.",https://upload.wikimedia.org/wikipedia/en/1/11/Adoorbhasi.jpg
Aftab Shivdasani,"Aftab Shivdasani (born 25 June 1978) is an Indian film actor, producer and model known for his works in Bollywood. Shivdasani was selected as the Farex baby at the age of 14 months and eventually appeared in many TV commercials. He started his acting career as a child artist in films, including, Mr. India (1987), Shahenshah (1988), ChaalBaaz (1989), Awwal Number (1990), C.I.D. (1990) and Insaniyat (1994).[1]In 1999, he made his adult debut in Ram Gopal Varma's Mast, for which he received the Zee Cine Award for Best Male Debut and Star Screen Award for Most Promising Newcomer- Male. Subsequently, he featured in several commercially successful films, including, Kasoor (2001) for which he received Zee Cine Award for Best Actor in a Negative Role and a nomination for Filmfare Best Villain Award, Kya Yehi Pyaar Hai (2002), Awara Paagal Deewana (2002), Hungama (2003), Masti (2004) for which he won Bollywood Movie Award for Best Comedian.Shivdasani was born in Mumbai to Prem and Putli Shivdasani.[2] He studied at St. Xavier's High School, (Fort) located at Lokamanya Tilak Marg in Mumbai. He then graduated from H. R.College of Commerce in Mumbai.[2] In 2012, he was engaged to Nin Dusanj, a London-based Punjabi who grew up in London and later moved to Hong Kong, working within the advertising and luxury branding industries in Asia.[1] On 5 June 2014, he married Nin Dusanj at a private ceremony attended only by both their families.[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Aftab_shivdasani.jpg/235px-Aftab_shivdasani.jpg
Ahuti Prasad,"Ahuti Prasad  (2 January 1958 – 4 January 2015) was an Indian character actor in the Telugu film industry.[3][4] He was renowned for the wide variety of roles he played, including father-figure, comedian, and antagonist. Prasad appeared in over 150 films in his career spanning nearly three decades.[5]Ahuti Prasad was born as Adusumilli Janardhan Vara Prasad to A. Ranga Rao and Hymavathi.[6] Originally from Koduru of Krishna District near Mudinepally,[7] his family migrated to Raichur in Karnataka when he was a child. He became interested in acting during his college days and sought a career as an actor. However, his parents were firmly against him pursuing a career in acting - he therefore completed his Bachelor's degree before taking their permission to join a film institute. After completing his education, Prasad moved to Hyderabad and joined the Film Institute of veteran director V. Madhusudhan Rao. Devadas Kanakala was the principal of the institute during this time, while Ramjagan and the late Achyuth were his classmates there.",https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Ahuti-Prasad-pic.jpg/225px-Ahuti-Prasad-pic.jpg
Ajay Devgan,"Vishal Devgan (born 2 April 1969), known professionally as Ajay Devgn, is an Indian film actor, director and producer. He is widely considered as one of the most intense and influential actors of Hindi cinema, who has appeared in over a hundred Hindi films. Devgn has won numerous accolades, including two National Film Awards and four Filmfare Awards. In 2016, he was honoured by the Government of India with the Padma Shri, the fourth-highest civilian honour of the country.[2][3][4][5][6][7][8][9]Devgn began his professional career with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance.[10][11] He then starred in successful films such as Jigar (1992), Sangram (1993), Vijaypath (1994), Dilwale (1994), Suhaag (1994), Haqeeqat (1995), Naajayaz (1995), Diljale (1996) and Ishq (1997).  In 1998, he appeared in a critically acclaimed performance in Mahesh Bhatt's drama Zakhm and he received his first National Film Award for Best Actor for his role in the movie. In 1999, his most-talked-about film was Hum Dil De Chuke Sanam in which he played Vanraj, a man who tries to unite his wife with her lover.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Ajay_Devgn_at_the_launch_of_MTV_Super_Fight_League.jpg/220px-Ajay_Devgn_at_the_launch_of_MTV_Super_Fight_League.jpg
Ajaz Khan,"Ajaz Khan[4] is an Indian film actor.[5] He has starred in movies such as Rakta Charitra and Allah Ke Banday and acted in several television daily soaps including Rahe Tera Aashirwaad and Kahaani Hamaaray Mahaabhaarat Ki.[6] Khan is known for his appearance in Bigg Boss 7.[7][8] He also appeared on the TV show Comedy Nights with Kapil.[9]His other films include Lakeer ka Fakeer[10] and the Indian films Dookudu and Naayak. He has appeared in an Academy Awards promotion commercial.[11][12]On 21 October 2018, he was arrested by Narcotics Cell of Mumbai police for having drugs in the form of ecstasy tablets.[13] On 18 July 2019, he was arrested for ""creating/uploading videos with objectionable content promoting enmity between different groups on grounds of religion, & creating hatred among public at large.""[14]",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Ajaz_Khan_at_Sachin_Joshi%27s_Diwali_Party.jpg/220px-Ajaz_Khan_at_Sachin_Joshi%27s_Diwali_Party.jpg
Ajinkya Dev,"Ajinkya Deo is an Indian actor in Marathi films and is the son of veteran Marathi actor Ramesh Deo and Seema Deo. He is elder brother of Hindi film director Abhinay Deo. Vasudev Balawant Phadke was the latest Marathi film in which he was the lead. The film was released in December 2007.Ajinkya Dev is also the executive director of Prabhat Entertainment TV channel. The channel, which is being beamed through THAICOM-3 is being financed partially by an NRI. Apart from Ajinkya the Board of directors of Prabhat Entertainment TV comprised Ravi Agrawal (chairman), Deepak Agrawal (managing director), Charuhas Satam (creative director), Anant Rangaswami (marketing director) and Anil Shetty (director). The channel operated from 2000 to 2002.Ajinkya Deo acted in a Telugu horror film in the year 1996 directed by Ram Gopal Varma.Movie Bombairiya is his upcoming movie and also playing the role of Great warrior Tatya Tope in movie based on the life of Rani Laxmibai namely ""Swords & Sceptres""",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajinkya_Dev.jpg/220px-Ajinkya_Dev.jpg
Ajit Khan,"Hamid Ali Khan (27 January 1922 – 22 October 1998),[1] better known by his stage name Ajit, was an Indian actor active in Hindi films. He acted in over two hundred movies over almost four decades.[2] Ajit is also credited for starring as a lead actor in popular Bollywood movies such as Nastik, Bada Bhai, Milan, Bara Dari, and later as a second lead in Mughal-e-Azam and Naya Daur.Ajit was born as Hamid Ali Khan into a Deccani Muslim family of Hyderabad state near the historic fort of Golconda outside Hyderabad city. His father, Bashir Ali Khan, who was in the Nizam's army, and his mother, Sultan Jehan Begum, was a devoted wife and mother. Hamid was one of four children; he had a younger brother, Wahid Ali Khan, and two sisters. The language at home was Urdu, but with the Deccani dialect and accent, which was different from that spoken elsewhere and used in the Hindi film industry. In addition to Urdu, Hamid also spoke Telugu, which was the language of that region.Ajit had his early education in Warangal and studied in Govt. Junior College, Hanamkonda in Warangal district of Telangana. Even as a school boy, his handsome features and good build were noticed by his peers, who often told him that he should try and become a film hero, and he began to think of this. He was anyway not much interested in studies, and after finishing school, he sold his junior college textbooks to pay for the journey to Mumbai, the center of the Hindi film industry, and went away without informing his parents.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Ajit_Khan.jpg/225px-Ajit_Khan.jpg
Ajith Kumar,"Ajith Kumar (born 1 May 1971), often mononymously called Ajith, is an Indian film actor who works predominantly in Tamil cinema. To date, Ajith has starred in over 50 films. In addition to his acting, he is also a motor car racer and participated in the MRF Racing series (2010).He began his career with a small role in the 1990 Tamil film En Veedu En Kanavar. Singer S. P. Balasubrahmanyam introduced Ajith to Tamil film industry by referring him to play lead role in Amaravathi (1993).[3] Then, Ajith starred in film Prema Pusthakam (1993), and his first critical acclaimed appearance was in the thriller Aasai (1995).[4] He subsequently established himself as a romantic hero with Kadhal Kottai (1996), Aval Varuvala (1998) and Kadhal Mannan (1998). Successful films such as Vaali (1999), Mugavaree (2000), Kandukondain Kandukondain (2000) and Citizen (2001)[5] followed. He established himself as an action hero starting with film Amarkalam (1999), in which he co-starred with his future wife, Shalini.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ajith_Kumar_at_Irungattukottai_Race_Track.jpg/220px-Ajith_Kumar_at_Irungattukottai_Race_Track.jpg
Ajmal Ameer,"Ajmal Ameer is an Indian film actor and physician, who works in the Malayalam, Tamil, and Telugu film industries. He has also acted in one English movie. He has won two Filmfare Awards South.Ajmal was born in Aluva, Kerala. He studied medicine in National Pirogov Memorial Medical University in Vinnytsia, Ukraine,[1] and had plans to open a hospital in future.[2][2][3] Ajmal has one brother Askar.[4]Ajmal's debut film was Pranayakalam, opposite Vimala Raman. This was followed by the Tamil film Anjathe, directed by Myshkin, in which he played an angry young man.[2] The film became a high critical as well as commercial success, with Ajmal receiving several awards for his performance.[5] He next starred in the Malayalam film Madambi alongside Mohanlal. It remains his only hit in Malayalam.[6] He also acted in an international production De Nova, which went unnoticed. The anti-hero character, Vasanthan Perumal, he portrayed in the 2011 Tamil movie  Ko earned him a lot of appreciation. Based on an online poll conducted by The Times of India, Ajmal won the Chennai Times Film Award for Best Actor in a Negative Role Male.[7] In 2013 he played an independent cinematographer in the suspense thriller Bangles.[8]",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ajmal_Ameer_at_Launch_of_Provoke_Lifestyle_Magazine.jpg/220px-Ajmal_Ameer_at_Launch_of_Provoke_Lifestyle_Magazine.jpg
